director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
SteveOedekerk,KellyPreston,MichaelMcKean,RebeccaGayheart,"action,adventure,comedy,crime",Nothing to Lose,"KellyPreston MichaelMcKean RebeccaGayheart SteveOedekerk action,adventure,comedy,crime boss,ghetto,money,robber,robbery"
BernardoBertolucci,Cary-HiroyukiTagawa,JoanChen,VictorWong,"biography,drama,history",The Last Emperor,"Cary-HiroyukiTagawa JoanChen VictorWong BernardoBertolucci biography,drama,history abdication,china,emperor,forbiddencity,republic"
BaltasarKormákur,J.K.Simmons,DavidO'Hara,LukasHaas,"action,crime,drama,thriller",Contraband,"J.K.Simmons DavidO'Hara LukasHaas BaltasarKormákur action,crime,drama,thriller cocaine,contraband,druglord,prison,smuggling"
BrettRatner,HeatherLocklear,PaulSorvino,FaizonLove,"action,comedy,crime,thriller",Money Talks,"HeatherLocklear PaulSorvino FaizonLove BrettRatner action,comedy,crime,thriller bloodsplatter,fistfight,murder,police,prisonbus"
PaulThomasAnderson,JimMeskimen,PaulF.Tompkins,KevinBreznahan,drama,There Will Be Blood,"JimMeskimen PaulF.Tompkins KevinBreznahan PaulThomasAnderson drama alcoholic,alcoholism,money,oil,turnofthecentury"
CathyMalkasian,AlfreWoodard,Flea,CreeSummer,"adventure,animation,comedy,family,fantasy",The Wild Thornberrys Movie,"AlfreWoodard Flea CreeSummer CathyMalkasian adventure,animation,comedy,family,fantasy africa,chimpanzee,elephant,safari,shaman"
JohnEng,ElizabethDaily,CreeSummer,NancyCartwright,"adventure,animation,comedy,family,fantasy,musical",Rugrats Go Wild,"ElizabethDaily CreeSummer NancyCartwright JohnEng adventure,animation,comedy,family,fantasy,musical kid,oxygen,rugrats,trappedunderwater,underwater"
MalcolmD.Lee,DaveChappelle,EddieGriffin,ChiMcBride,"action,comedy",Undercover Brother,"DaveChappelle EddieGriffin ChiMcBride MalcolmD.Lee action,comedy africanamerican,cadillac,disguise,secretagent,undercover"
KenKwapis,MikeVogel,AmericaFerrera,KyleSchmid,"comedy,drama,family,romance",The Sisterhood of the Traveling Pants,"MikeVogel AmericaFerrera KyleSchmid KenKwapis comedy,drama,family,romance friendship,jeans,pants,summer,vacation"
ChrisNahon,JetLi,BridgetFonda,MaxRyan,"action,crime,drama,thriller",Kiss of the Dragon,"JetLi BridgetFonda MaxRyan ChrisNahon action,crime,drama,thriller actionhero,chinese,forcedprostitution,onemanarmy,titlespokenbycharacter"
FredWolf,EmmaStone,KatharineMcPhee,BeverlyD'Angelo,"comedy,romance",The House Bunny,"EmmaStone KatharineMcPhee BeverlyD'Angelo FredWolf comedy,romance makeover,party,playboy,playboymansion,sorority"
BilleWoodruff,AlfreWoodard,KeshiaKnightPulliam,LisaRayeMcCoy,comedy,Beauty Shop,"AlfreWoodard KeshiaKnightPulliam LisaRayeMcCoy BilleWoodruff comedy client,dentures,falseteeth,referencetopeterpan,singleparent"
CraigGillespie,JonHamm,SurajSharma,GregoryAlanWilliams,"biography,drama,sport",Million Dollar Arm,"JonHamm SurajSharma GregoryAlanWilliams CraigGillespie biography,drama,sport baseball,basedontruestory,india,sportsagent,training"
PhillipNoyce,JeffBridges,MerylStreep,AlexanderSkarsgård,"drama,romance,sci-fi",The Giver,"JeffBridges MerylStreep AlexanderSkarsgård PhillipNoyce drama,romance,sci-fi blackandwhiteseguesintocolor,color,community,dystopia,infanticide"
DennieGordon,ColinFirth,OliverJames,KellyPreston,"comedy,drama,family,romance",What a Girl Wants,"ColinFirth OliverJames KellyPreston DennieGordon comedy,drama,family,romance american,daughter,england,father,politician"
VictorSalva,NickiAycox,JonathanBreck,BillyAaronBrown,horror,Jeepers Creepers II,"NickiAycox JonathanBreck BillyAaronBrown VictorSalva horror cheerleader,farmer,fear,highschoolbasketball,nightmare"
MarkHelfrich,DaneCook,DanFogler,ChelanSimmons,"comedy,romance",Good Luck Chuck,"DaneCook DanFogler ChelanSimmons MarkHelfrich comedy,romance breasts,legspreading,miniskirt,sex,sexinbed"
AndrzejBartkowiak,JetLi,TomArnold,DMX,"action,crime,drama,thriller",Cradle 2 the Grave,"JetLi TomArnold DMX AndrzejBartkowiak action,crime,drama,thriller camerashotfrominsidehumanbody,diamond,evilman,heist,terrorism"
StephenDaldry,MerylStreep,StephenDillane,MirandaRichardson,"drama,romance",The Hours,"MerylStreep StephenDillane MirandaRichardson StephenDaldry drama,romance housewife,lesbian,novel,party,reading"
AndyFickman,ChanningTatum,AlexandraBreckenridge,LauraRamsey,"comedy,romance",She's the Man,"ChanningTatum AlexandraBreckenridge LauraRamsey AndyFickman comedy,romance disguise,roommate,school,soccer,twin"
SteveBendelack,LilyAtkinson,EmmadeCaunes,StevePemberton,"comedy,family",Mr. Bean's Holiday,"LilyAtkinson EmmadeCaunes StevePemberton SteveBendelack comedy,family camcorder,cannes,director,lostpassport,train"
DwightH.Little,NicholasGonzalez,SalliRichardson-Whitfield,JohnnyMessner,"action,adventure,horror,thriller",Anacondas: The Hunt for the Blood Orchid,"NicholasGonzalez SalliRichardson-Whitfield JohnnyMessner DwightH.Little action,adventure,horror,thriller anaconda,blood,borneo,flower,orchid"
GuillaumeCanet,MilaKunis,LiliTaylor,BillyCrudup,"crime,drama,thriller",Blood Ties,"MilaKunis LiliTaylor BillyCrudup GuillaumeCanet crime,drama,thriller 1970s,flashback,love,money,murder"
KirstenSheridan,RobinWilliams,AaronStaton,MarianSeldes,"drama,music",August Rush,"RobinWilliams AaronStaton MarianSeldes KirstenSheridan drama,music baby,cellist,genius,prodigy,rhapsody"
ShekharKapur,FannyArdant,JohnGielgud,EricCantona,"biography,drama,history",Elizabeth,"FannyArdant JohnGielgud EricCantona ShekharKapur biography,drama,history 16thcentury,britishroyalfamily,catholic,queen,queenelizabethi"
RonnyYu,AlexisArquette,ParkBench,VinceCorazza,"comedy,fantasy,horror,romance",Bride of Chucky,"AlexisArquette ParkBench VinceCorazza RonnyYu comedy,fantasy,horror,romance blood,doll,gore,murder,serialkiller"
RichardFleischer,JosephCotten,RichardAnderson,JamesWhitmore,"action,drama,history,war",Tora! Tora! Tora!,"JosephCotten RichardAnderson JamesWhitmore RichardFleischer action,drama,history,war attack,hawaii,navy,pearlharbor,u.s.navy"
BobSpiers,JasonFlemyng,RichardBriers,VictoriaBeckham,"comedy,family,music",Spice World,"JasonFlemyng RichardBriers VictoriaBeckham BobSpiers comedy,family,music bus,concert,liveconcert,popgroup,spicegirl"
DavidGordonGreen,AriGraynor,J.B.Smoove,KylieBunbury,comedy,The Sitter,"AriGraynor J.B.Smoove KylieBunbury DavidGordonGreen comedy babysitting,carcrash,childinperil,kickedintheface,referencetocraigslist"
DamienDanteWayans,DamonWayansJr.,EssenceAtkins,ChrisElliott,"action,comedy,music",Dance Flick,"DamonWayansJr. EssenceAtkins ChrisElliott DamienDanteWayans action,comedy,music africanamerican,dance,overalls,parody,rap"
FrankDarabont,MorganFreeman,JeffreyDeMunn,BobGunton,"crime,drama",The Shawshank Redemption,"MorganFreeman JeffreyDeMunn BobGunton FrankDarabont crime,drama escapefromprison,firstpersonnarration,prison,prisoncellsearch,wrongfulimprisonment"
SimonWincer,JereBurns,PaulHogan,LindaKozlowski,"adventure,comedy,crime",Crocodile Dundee in Los Angeles,"JereBurns PaulHogan LindaKozlowski SimonWincer adventure,comedy,crime boat,crocodile,garbagecan,knife,paramountpictures"
BobbyFarrelly,BillMurray,LinShaye,RichardTyson,"comedy,sport",Kingpin,"BillMurray LinShaye RichardTyson BobbyFarrelly comedy,sport amish,bowling,ontheroad,rubberhand,tournament"
JohnWells,BenedictCumberbatch,MerylStreep,JuliaRoberts,drama,August: Osage County,"BenedictCumberbatch MerylStreep JuliaRoberts JohnWells drama basedonplay,incestuousrelationship,pedophilia,secret,teenagedaughter"
TimFywell,ConnieRay,TrevorBlumas,AmyStewart,"comedy,drama,family,sport",Ice Princess,"ConnieRay TrevorBlumas AmyStewart TimFywell comedy,drama,family,sport championship,coach,harvard,physics,zamboni"
NigelCole,AimeeGarcia,TyroneGiordano,JamesRead,"comedy,drama,romance",A Lot Like Love,"AimeeGarcia TyroneGiordano JamesRead NigelCole comedy,drama,romance flight,hasselbladcamera,losangelescalifornia,love,mediumformatcamera"
SpikeLee,DenzelWashington,MillaJovovich,RosarioDawson,"drama,sport",He Got Game,"DenzelWashington MillaJovovich RosarioDawson SpikeLee drama,sport basketball,basketballplayer,femalenudity,pornactorinmainstreammovie,prison"
JeremyLeven,JohnnyDepp,MarlonBrando,FayeDunaway,"comedy,drama,romance",Don Juan DeMarco,"JohnnyDepp MarlonBrando FayeDunaway JeremyLeven comedy,drama,romance donjuan,mentalinstitution,patient,psychiatrist,retirement"
unknown,JustinFletcher,JohnSparkes,KateHarbour,"animation,comedy,family",Shaun the Sheep,"JustinFletcher JohnSparkes KateHarbour unknown animation,comedy,family farmer,mischief,nodialog,sheep,sheepdog"
LasseHallström,ChanningTatum,HenryThomas,ScottPorter,"drama,romance,war",Dear John,"ChanningTatum HenryThomas ScottPorter LasseHallström drama,romance,war army,coincollector,love,surfboard,u.s.army"
SylvainWhite,ChrisEvans,JasonPatric,ÓscarJaenada,"action,crime,drama,mystery,thriller",The Losers,"ChrisEvans JasonPatric ÓscarJaenada SylvainWhite action,crime,drama,mystery,thriller hacking,hijacking,martialarts,revenge,specialforces"
TroyNixey,BaileeMadison,AlanDale,JackThompson,"fantasy,horror,thriller",Don't Be Afraid of the Dark,"BaileeMadison AlanDale JackThompson TroyNixey fantasy,horror,thriller basement,creature,disappearance,interiordesigner,mansion"
PhilipG.Atwell,JasonStatham,JetLi,NadineVelazquez,"action,crime,thriller",War,"JasonStatham JetLi NadineVelazquez PhilipG.Atwell action,crime,thriller assassin,betrayal,fbi,fbiagent,yakuza"
PaulThomasAnderson,AdamSandler,EmilyWatson,DonMcManus,"comedy,drama,romance,thriller",Punch-Drunk Love,"AdamSandler EmilyWatson DonMcManus PaulThomasAnderson comedy,drama,romance,thriller harmonium,love,phonesex,pudding,sister"
JeffSchaffer,MattDamon,ScottMechlowicz,JacobPitts,comedy,EuroTrip,"MattDamon ScottMechlowicz JacobPitts JeffSchaffer comedy femalefrontalnudity,malefrontalnudity,nudist,nudity,publicnudity"
DonMichaelPaul,ClaudiaChristian,NiaPeeples,TonyPlana,"action,crime,thriller",Half Past Dead,"ClaudiaChristian NiaPeeples TonyPlana DonMichaelPaul action,crime,thriller alcatraz,fbi,gold,prison,undercover"
PaulFeig,TylerJamesWilliams,RobRiggle,B.J.Novak,"adventure,comedy,family,romance",Unaccompanied Minors,"TylerJamesWilliams RobRiggle B.J.Novak PaulFeig adventure,comedy,family,romance airport,blackcomedy,blizzard,christmas,pennsylvania"
JamesBridges,DianneWiest,PhoebeCates,SwoosieKurtz,drama,"Bright Lights, Big City","DianneWiest PhoebeCates SwoosieKurtz JamesBridges drama estrangedwife,fashionshow,magazine,newyorkcity,writer"
SteveBarron,MartinLandau,UdoKier,BebeNeuwirth,"adventure,family,fantasy,musical",The Adventures of Pinocchio,"MartinLandau UdoKier BebeNeuwirth SteveBarron adventure,family,fantasy,musical basedonnovel,humanbecomingananimal,slowmotion,transformation,youngboy"
BillPaxton,StephenDillane,MatthewKnight,AmandaTilson,"drama,history,sport",The Greatest Game Ever Played,"StephenDillane MatthewKnight AmandaTilson BillPaxton drama,history,sport champion,golftournament,golfer,nostalgia,orchestralmusicscore"
RichardKelly,FrankLangella,GillianJacobs,CeliaWeston,"drama,fantasy,mystery,thriller",The Box,"FrankLangella GillianJacobs CeliaWeston RichardKelly drama,fantasy,mystery,thriller alien,library,moraldilemma,nosebleed,supernaturalpower"
CarterSmith,LauraRamsey,JonathanTucker,SergioCalderón,horror,The Ruins,"LauraRamsey JonathanTucker SergioCalderón CarterSmith horror bowandarrow,groupoffriends,horse,rifle,ruins"
JohnSchlesinger,MarkValley,RupertEverett,IlleanaDouglas,"comedy,drama,romance",The Next Best Thing,"MarkValley RupertEverett IlleanaDouglas JohnSchlesinger comedy,drama,romance bestfriend,cartoonontv,custodybattle,gay,gayfriend"
LukeGreenfield,ChrisMarquette,TimothyBottoms,JacobYoung,"comedy,drama,romance",The Girl Next Door,"ChrisMarquette TimothyBottoms JacobYoung LukeGreenfield comedy,drama,romance forcedtostrip,malerearnudity,pornactress,scantilycladfemale,teenager"
RingoLam,NatashaHenstridge,ZachGrenier,PaulBen-Victor,"action,crime,mystery,romance,thriller",Maximum Risk,"NatashaHenstridge ZachGrenier PaulBen-Victor RingoLam action,crime,mystery,romance,thriller fbi,fbiagent,mafia,russianmafia,twin"
BrianHelgeland,TomHardy,PaulAnderson,TaraFitzgerald,"biography,crime,drama,history,thriller",Legend,"TomHardy PaulAnderson TaraFitzgerald BrianHelgeland biography,crime,drama,history,thriller 1960s,basedonatruestory,gangster,identicaltwins,murder"
AkivaSchaffer,SissySpacek,JormaTaccone,ChrisParnell,comedy,Hot Rod,"SissySpacek JormaTaccone ChrisParnell AkivaSchaffer comedy humiliation,manchild,moped,neighbor,slacker"
DavidR.Ellis,ChrisZylka,JoelDavidMoore,KatharineMcPhee,"horror,thriller",Shark Night 3D,"ChrisZylka JoelDavidMoore KatharineMcPhee DavidR.Ellis horror,thriller lake,louisiana,redneck,shark,vacation"
AlanParker,EmilyWatson,DevonMurray,PaulineMcLynn,drama,Angela's Ashes,"EmilyWatson DevonMurray PaulineMcLynn AlanParker drama drink,ira,irish,limerick,prejudice"
IvanReitman,JenniferGarner,ChiMcBride,PatrickSt.Esprit,"drama,sport",Draft Day,"JenniferGarner ChiMcBride PatrickSt.Esprit IvanReitman drama,sport clevelandbrowns,headcoach,linebacker,nfl,teamowner"
TobeHooper,FrankFinlay,SteveRailsback,PeterFirth,"action,horror,sci-fi,thriller",Lifeforce,"FrankFinlay SteveRailsback PeterFirth TobeHooper action,horror,sci-fi,thriller alien,halleyscomet,lifeforce,spacevampire,vampire"
unknown,ElizabethDaily,JenniferHale,TomKane,"action,animation,comedy,family,fantasy,sci-fi",The Powerpuff Girls,"ElizabethDaily JenniferHale TomKane unknown action,animation,comedy,family,fantasy,sci-fi campy,castlethunder,femalehero,femaleprotagonist,monster"
RobertRedford,RobinWright,TomWilkinson,StephenRoot,"crime,drama,history",The Conspirator,"RobinWright TomWilkinson StephenRoot RobertRedford crime,drama,history johnwilkesbooth,lawyer,lincolnassassination,trial,truth"
CatherineHardwicke,HeathLedger,MichaelAngarano,RebeccaDeMornay,"biography,drama,sport",Lords of Dogtown,"HeathLedger MichaelAngarano RebeccaDeMornay CatherineHardwicke biography,drama,sport 1970s,skateboarder,skateboarding,surf,swimmingpool"
PatriciaRiggen,MarcoTreviño,JamesBrolin,JacobVargas,"biography,drama,history",The 33,"MarcoTreviño JamesBrolin JacobVargas PatriciaRiggen biography,drama,history disastermovie,mine,minister,president,trappedinamine"
JohnCarpenter,VictorWong,KateBurton,PeterKwong,"action,adventure,comedy,fantasy",Big Trouble in Little China,"VictorWong KateBurton PeterKwong JohnCarpenter action,adventure,comedy,fantasy 1980s,airport,cbradio,truck,truckdriver"
PascalChaumeil,DanyBoon,MalonnLévana,AlicePol,"comedy,romance",A Perfect Plan,"DanyBoon MalonnLévana AlicePol PascalChaumeil comedy,romance curse,divorce,marriage,tourism,travel"
GavinO'Connor,TomHardy,FrankGrillo,KevinDunn,"drama,sport",Warrior,"TomHardy FrankGrillo KevinDunn GavinO'Connor drama,sport alcoholic,mixedmartialarts,returnhome,tournament,underdog"
NeilJordan,AlanRickman,LiamNeeson,JuliaRoberts,"biography,drama,thriller,war",Michael Collins,"AlanRickman LiamNeeson JuliaRoberts NeilJordan biography,drama,thriller,war ireland,irish,irishcivilwar,irishfreestate,sinnfein"
RonMaxwell,TomBerenger,WilliamMorganSheppard,JamesPatrickStuart,"drama,history,war",Gettysburg,"TomBerenger WilliamMorganSheppard JamesPatrickStuart RonMaxwell drama,history,war americancivilwar,battle,bloodsplatter,civilwar,irishamerican"
KimberlyPeirce,JosephGordon-Levitt,ChanningTatum,AbbieCornish,"drama,war",Stop-Loss,"JosephGordon-Levitt ChanningTatum AbbieCornish KimberlyPeirce drama,war friendship,honor,iraqwar,soldier,texas"
StephenGaghan,CharlieHunnam,ZooeyDeschanel,TonyGoldwyn,"drama,music,mystery,romance,thriller",Abandon,"CharlieHunnam ZooeyDeschanel TonyGoldwyn StephenGaghan drama,music,mystery,romance,thriller college,detective,disappearance,policedetective,thesis"
JonathanKaplan,JohnDoe,TomAmandes,DanielLapaine,"drama,mystery,thriller",Brokedown Palace,"JohnDoe TomAmandes DanielLapaine JonathanKaplan drama,mystery,thriller bangkok,friend,lawyer,smuggling,thailand"
RichardBenjamin,BrendanFraser,JaneKrakowski,CathryndePrume,"comedy,drama,romance",Mrs. Winterbourne,"BrendanFraser JaneKrakowski CathryndePrume RichardBenjamin comedy,drama,romance love,train,trainwreck,twinbrother,twowordtitle"
RodLurie,AlexanderSkarsgård,LazAlonso,RhysCoiro,"action,drama,thriller",Straw Dogs,"AlexanderSkarsgård LazAlonso RhysCoiro RodLurie action,drama,thriller gangrape,pantiespulleddown,rape,rapevictim,sexualhumiliation"
LasseHallström,HopeDavis,ChristopherEvanWelch,JamesBiberi,"comedy,drama",The Hoax,"HopeDavis ChristopherEvanWelch JamesBiberi LasseHallström comedy,drama book,fabrication,fake,hoax,manuscript"
CraigR.Baxley,BrianBosworth,SamMcMurray,RichardGant,"action,crime,drama,thriller",Stone Cold,"BrianBosworth SamMcMurray RichardGant CraigR.Baxley action,crime,drama,thriller biker,bikergang,fbi,mississippi,undercover"
JohnHillcoat,ViggoMortensen,CharlizeTheron,RobertDuvall,"adventure,drama",The Road,"ViggoMortensen CharlizeTheron RobertDuvall JohnHillcoat adventure,drama apocalypse,boy,food,pistol,survival"
JohnGuillermin,TanyaRoberts,DonovanScott,TedWass,"adventure,fantasy",Sheena,"TanyaRoberts DonovanScott TedWass JohnGuillermin adventure,fantasy chimpanzee,elephant,jungle,mercenary,shaman"
MarcosSiega,CheechMarin,NickCannon,KayleeDeFer,"action,comedy,crime,drama,thriller",Underclassman,"CheechMarin NickCannon KayleeDeFer MarcosSiega action,comedy,crime,drama,thriller police,privateschool,shootout,undercover,wigger"
J.B.Rogers,EddieCibrian,ChrisKlein,JackPlotnick,"comedy,romance",Say It Isn't So,"EddieCibrian ChrisKlein JackPlotnick J.B.Rogers comedy,romance bestiality,brothersisterincest,fisting,hitontheheadwithapipe,wedding"
RogerDonaldson,AnthonyHopkins,AntonyStarr,CraigHall,"biography,drama,sport",The World's Fastest Indian,"AnthonyHopkins AntonyStarr CraigHall RogerDonaldson biography,drama,sport mortgage,motorcycle,speed,trailer,utah"
DavidR.Ellis,LinShaye,KenanThompson,RachelBlanchard,"action,adventure,crime,drama,thriller",Snakes on a Plane,"LinShaye KenanThompson RachelBlanchard DavidR.Ellis action,adventure,crime,drama,thriller babyrattle,famousline,murder,passenger,snake"
RachelTalalay,NaomiWatts,LoriPetty,JeffKober,"action,comedy,sci-fi",Tank Girl,"NaomiWatts LoriPetty JeffKober RachelTalalay action,comedy,sci-fi 2030s,21stcentury,desert,jet,tank"
JeffreyW.Byrd,DonaldFaison,LorettaDevine,ReginaHall,"comedy,crime",King's Ransom,"DonaldFaison LorettaDevine ReginaHall JeffreyW.Byrd comedy,crime hitinthecrotch,kidnapping,nailgun,police,releasefromprison"
FernandoMeirelles,DonMcKellar,JoePingue,YûsukeIseya,"drama,mystery,sci-fi,thriller",Blindness,"DonMcKellar JoePingue YûsukeIseya FernandoMeirelles drama,mystery,sci-fi,thriller blindness,epidemic,hospital,pubichair,quarantine"
UweBoll,MeatLoaf,UdoKier,MichaelParé,"action,adventure,fantasy,horror",BloodRayne,"MeatLoaf UdoKier MichaelParé UweBoll action,adventure,fantasy,horror escape,halfhuman,king,vampire,vampirehunter"
RomanPolanski,KateWinslet,ChristophWaltz,JulieAdams,"comedy,drama",Carnage,"KateWinslet ChristophWaltz JulieAdams RomanPolanski comedy,drama basedonplay,meeting,salesman,singlesetproduction,whiskey"
AtomEgoyan,ColinFirth,AlisonLohman,RachelBlanchard,"crime,drama,mystery,thriller",Where the Truth Lies,"ColinFirth AlisonLohman RachelBlanchard AtomEgoyan crime,drama,mystery,thriller breasts,death,femalerearnudity,lesbiancunnilingus,rearentrysex"
AndrewAdamson,DallasBarnett,EricaLinz,IgorZaripov,fantasy,Cirque du Soleil: Worlds Away,"DallasBarnett EricaLinz IgorZaripov AndrewAdamson fantasy aerialist,circus,cirquedusoleil,clown,surrealism"
RobertTowne,BillyBurke,MonicaPotter,BillyCrudup,"biography,drama,sport",Without Limits,"BillyBurke MonicaPotter BillyCrudup RobertTowne biography,drama,sport carcrash,coach,death,oregon,universityoforegon"
RichardLinklater,ZoeKazan,AidanMcArdle,JamesTupper,drama,Me and Orson Welles,"ZoeKazan AidanMcArdle JamesTupper RichardLinklater drama highschool,mercurytheatre,openingnight,school,theatre"
GiuseppeTornatore,JimSturgess,SeanBuchanan,LiyaKebede,"crime,drama,mystery,romance",The Best Offer,"JimSturgess SeanBuchanan LiyaKebede GiuseppeTornatore crime,drama,mystery,romance antique,art,heiress,oldermanyoungerwomanrelationship,plottwist"
WernerHerzog,NicolasCage,SheaWhigham,ShawnHatosy,"crime,drama",Bad Lieutenant: Port of Call New Orleans,"NicolasCage SheaWhigham ShawnHatosy WernerHerzog crime,drama drugs,flood,hallucination,lieutenant,murderinvestigation"
BenStassen,EdBegleyJr.,JennyMcCarthy,StacyKeach,"adventure,animation,family",A Turtle's Tale: Sammy's Adventures,"EdBegleyJr. JennyMcCarthy StacyKeach BenStassen adventure,animation,family apostropheintitle,characternameintitle,punctuationintitle,seaturtle"
GuillaumeCanet,FrançoisCluzet,BenoîtMagimel,GillesLellouche,"comedy,drama",Little White Lies,"FrançoisCluzet BenoîtMagimel GillesLellouche GuillaumeCanet comedy,drama friend,restaurant,secret,unrequitedlove,vacation"
TaylorHackford,ScoutTaylor-Compton,BaiLing,GilBirmingham,"comedy,drama,romance,sport",Love Ranch,"ScoutTaylor-Compton BaiLing GilBirmingham TaylorHackford comedy,drama,romance,sport argentine,brothel,cancer,femalefullfrontalnudity,fight"
JérômeDeschamps,YolandeMoreau,AndréWilms,JérômeDeschamps,"adventure,animation,comedy",The True Story of Puss'N Boots,"YolandeMoreau AndréWilms JérômeDeschamps JérômeDeschamps adventure,animation,comedy cartooncat,cat,characternameintitle,pussinboots,surrealism"
InnaEvlannikova,SergeyGarmash,EvgeniyMironov,AleksandrBashirov,"adventure,animation,comedy,family",Space Dogs,"SergeyGarmash EvgeniyMironov AleksandrBashirov InnaEvlannikova adventure,animation,comedy,family dog,flea,meteor,space,spacedog"
RidleyScott,MichaelFassbender,BradPitt,GoranVisnjic,"crime,drama,thriller",The Counselor,"MichaelFassbender BradPitt GoranVisnjic RidleyScott crime,drama,thriller cunnilingus,drugtrafficking,lawyer,nopanties,shootout"
JonathanEnglish,JasonFlemyng,MackenzieCrook,DerekJacobi,"action,adventure,history,romance",Ironclad,"JasonFlemyng MackenzieCrook DerekJacobi JonathanEnglish action,adventure,history,romance castle,england,king,knight,templar"
SergeyBondarchuk,RodSteiger,DanO'Herlihy,JackHawkins,"action,drama,history,war",Waterloo,"RodSteiger DanO'Herlihy JackHawkins SergeyBondarchuk action,drama,history,war battle,costumedrama,finalbattle,napoleon,napoleonbonaparte"
TeddyChan,Siu-WongFan,CharlieYeung,Wai-KeungLau,"action,drama",Kung Fu Killer,"Siu-WongFan CharlieYeung Wai-KeungLau TeddyChan action,drama fight,kungfu,martialarts,police,wirefu"
MarioVanPeebles,MartinKove,MarioVanPeebles,JacobVargas,"action,thriller",Red Sky,"MartinKove MarioVanPeebles JacobVargas MarioVanPeebles action,thriller explodingairplane,fighterpilot,handstied,heldatgunpoint,military"
WalterSalles,KristenStewart,ViggoMortensen,KirstenDunst,"adventure,drama",On the Road,"KristenStewart ViggoMortensen KirstenDunst WalterSalles adventure,drama benzedrine,cactus,drugs,poem,year1949"
LeonardNimoy,LeonardNimoy,NichelleNichols,WalterKoenig,"adventure,comedy,sci-fi",Star Trek IV: The Voyage Home,"LeonardNimoy NichelleNichols WalterKoenig LeonardNimoy adventure,comedy,sci-fi alienprobe,humpbackwhales,probe,timetravel,whale"
SylvesterStallone,SylvesterStallone,BurtYoung,MikeTyson,"drama,sport",Rocky Balboa,"SylvesterStallone BurtYoung MikeTyson SylvesterStallone drama,sport boxing,fight,heavyweightchampion,restaurant,retiredboxer"
EricsonCore,RayWinstone,EdgarRamírez,DelroyLindo,"action,crime,sport,thriller",Point Break,"RayWinstone EdgarRamírez DelroyLindo EricsonCore action,crime,sport,thriller athlete,extremesports,fbi,fbiagent,heist"
WesCraven,OmarEpps,JadaPinkettSmith,KevinWilliamson,"horror,mystery",Scream 2,"OmarEpps JadaPinkettSmith KevinWilliamson WesCraven horror,mystery college,ghostface,killer,killingspree,murder"
GavinO'Connor,NataliePortman,NoahEmmerich,BoydHolbrook,"action,drama,western",Jane Got a Gun,"NataliePortman NoahEmmerich BoydHolbrook GavinO'Connor action,drama,western brothel,deathofhusband,exlover,hauntedbythepast,redemption"
TimStory,RomanyMalco,ReginaHall,DavidWalton,"comedy,romance",Think Like a Man Too,"RomanyMalco ReginaHall DavidWalton TimStory comedy,romance africanamerican,imperativeintitle,lasvegasnevada,nevada,wedding"
JonathanLynn,BruceWillis,MatthewPerry,NatashaHenstridge,"comedy,crime",The Whole Nine Yards,"BruceWillis MatthewPerry NatashaHenstridge JonathanLynn comedy,crime adultery,blackhumor,dentist,hitman,sexinbed"
ToddPhillips,WillFerrell,LeahRemini,PatrickFischler,comedy,Old School,"WillFerrell LeahRemini PatrickFischler ToddPhillips comedy college,fraternity,friend,house,party"
TerryGilliam,JeffBridges,DavidHydePierce,HarryShearer,"comedy,drama,fantasy",The Fisher King,"JeffBridges DavidHydePierce HarryShearer TerryGilliam comedy,drama,fantasy friendship,holygrail,massacre,redemption,videostore"
DannyCannon,MuseWatson,MekhiPhifer,BillCobbs,"horror,mystery",I Still Know What You Did Last Summer,"MuseWatson MekhiPhifer BillCobbs DannyCannon horror,mystery bahamas,fisherman,hook,island,roommate"
BonnieHunt,MinnieDriver,JimBelushi,BonnieHunt,"comedy,drama,romance",Return to Me,"MinnieDriver JimBelushi BonnieHunt BonnieHunt comedy,drama,romance heart,italianrestaurant,restaurant,transplant,waitress"
KevinSmith,GerryBednob,JeffAnderson,JenniferSchwalbachSmith,"comedy,romance",Zack and Miri Make a Porno,"GerryBednob JeffAnderson JenniferSchwalbachSmith KevinSmith comedy,romance actor,friend,malefrontalnudity,malefullfrontalnudity,penis"
NeilLaBute,MorganFreeman,PruittTaylorVince,KathleenWilhoite,"comedy,crime,drama",Nurse Betty,"MorganFreeman PruittTaylorVince KathleenWilhoite NeilLaBute comedy,crime,drama hospital,kansascity,obsession,salesman,soapopera"
GrantHeslov,KevinSpacey,JeffBridges,StephenRoot,"comedy,war",The Men Who Stare at Goats,"KevinSpacey JeffBridges StephenRoot GrantHeslov comedy,war firstpersonnarration,general,hampster,referencetolochnessmonster,reporter"
GeorgeGallo,DanielRoebuck,EddieGriffin,GarcelleBeauvais,"action,comedy,crime,thriller",Double Take,"DanielRoebuck EddieGriffin GarcelleBeauvais GeorgeGallo action,comedy,crime,thriller cia,ciaagent,fbi,mexico,train"
JamesMangold,AngelinaJoliePitt,CleaDuVall,VanessaRedgrave,"biography,drama","Girl, Interrupted","AngelinaJoliePitt CleaDuVall VanessaRedgrave JamesMangold biography,drama 1960s,fatherdaughterincest,mentalhospital,suicide,suicideattempt"
